Using device: cpu
| epoch   1 |   100/ 2826 batches | lr 20.00 | ms/batch 181.56 | loss  6.92 | ppl  1009.16
| epoch   1 |   200/ 2826 batches | lr 20.00 | ms/batch 224.00 | loss  5.99 | ppl   399.55
| epoch   1 |   300/ 2826 batches | lr 20.00 | ms/batch 266.42 | loss  5.58 | ppl   265.64
| epoch   1 |   400/ 2826 batches | lr 20.00 | ms/batch 203.61 | loss  5.40 | ppl   220.81
| epoch   1 |   500/ 2826 batches | lr 20.00 | ms/batch 217.45 | loss  5.25 | ppl   189.73
| epoch   1 |   600/ 2826 batches | lr 20.00 | ms/batch 236.82 | loss  5.15 | ppl   172.86
| epoch   1 |   700/ 2826 batches | lr 20.00 | ms/batch 254.07 | loss  5.03 | ppl   153.52
| epoch   1 |   800/ 2826 batches | lr 20.00 | ms/batch 238.05 | loss  5.00 | ppl   148.48
| epoch   1 |   900/ 2826 batches | lr 20.00 | ms/batch 290.77 | loss  4.97 | ppl   144.64
| epoch   1 |  1000/ 2826 batches | lr 20.00 | ms/batch 266.72 | loss  4.95 | ppl   141.35
| epoch   1 |  1100/ 2826 batches | lr 20.00 | ms/batch 214.42 | loss  4.89 | ppl   133.02
| epoch   1 |  1200/ 2826 batches | lr 20.00 | ms/batch 186.45 | loss  4.89 | ppl   132.85
| epoch   1 |  1300/ 2826 batches | lr 20.00 | ms/batch 261.65 | loss  4.81 | ppl   122.56
| epoch   1 |  1400/ 2826 batches | lr 20.00 | ms/batch 200.15 | loss  4.80 | ppl   121.47
| epoch   1 |  1500/ 2826 batches | lr 20.00 | ms/batch 183.23 | loss  4.79 | ppl   119.99
| epoch   1 |  1600/ 2826 batches | lr 20.00 | ms/batch 186.96 | loss  4.72 | ppl   112.26
| epoch   1 |  1700/ 2826 batches | lr 20.00 | ms/batch 150.95 | loss  4.74 | ppl   114.15
| epoch   1 |  1800/ 2826 batches | lr 20.00 | ms/batch 175.93 | loss  4.77 | ppl   117.84
